,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,ONEOFFPURCHASES_TOTAL,TOTAL_OWED,PCT_PAID
Component 1,-0.00887676708225181,0.11226921268626586,0.0331373297096185,0.020119722702449175,0.03578587637631973,-0.016173847417677006,0.6977236694571128,0.24643695577433503,0.6509589909613623,-0.07042788338482685,-0.01926568892049989,0.07659520835020223,0.029918995218809082,0.013486863942433865,0.00122545396794322,0.019821890814246134,0.01739293680867183,-0.0016044144803270912
Component 2,0.08070833272524652,0.21758430611599344,0.049818036913413154,0.061245176599227985,-0.0024054047634880144,0.012401140112335486,0.07397274130487189,0.8369712170259842,-0.4485131057144649,0.04846389902116669,0.01658312502114383,0.06244713452498415,0.12901249353297692,0.04531544052566783,0.0009624969914525908,0.0603747883745387,0.06104331072731325,-0.000792099836533567
Component 3,-0.2197222282845462,-0.8951753553881578,0.007389268981879585,0.012695128912789316,-0.006887372820526858,-0.05907187100561405,0.1040474823391071,0.23075213546181508,-0.07603640119051107,-0.25260736062639927,-0.082940299022366,0.004737587700585084,-0.05042380783708297,-0.017053535632082558,-0.026150515463432594,0.012507660236273347,-0.04883522142740462,0.0024505554096572635
